hash	auto_verified	verified	checked	citation	title	author	year
('Ludwig-Maximilians-Universität München, Institut für Ethnologie', 'None')	0	0	1	M. Borgwardt, Graph Kernels, Ludwig-Maximilians-Universitat Munchen, Fakultat fur Mathematik, Informatik und Statistik, 2007 Ph.D. thesis.	Ludwig-Maximilians-Universität München, Institut für Ethnologie	None	None
('Graphs, Typed Graphs, and the Gluing Construction', 'None')	0	0	1	H. Bunke, What is the distance between graphs ? Bull. EATCS 20 (1983) 35–39.	Graphs, Typed Graphs, and the Gluing Construction	None	None
('Graph matching for visual object recognition', 2000)	0	0	1	H. Bunke. Graph matching: Theoretical foundations, algorithms, and applications. Vision Interface, 3, 2000.	Graph matching for visual object recognition	Horst Bunke	2000
('Graph Matching-Exact and Error-Tolerant Methods and the Automatic Learning of Edit Costs', 2006)	0	1	1	Bunke, H., Neuhaus, M.: "Graph matching. exact and error-tolerantmethods and the automatic learning of edit costs", in Cook, D.,Holder, L.B. (Eds.): "Mining graph data" (Wiley-Interscience, 2007),pp. 17â€“32	Graph Matching-Exact and Error-Tolerant Methods and the Automatic Learning of Edit Costs	Horst Bunke and Michel Neuhaus	2006
('A Short Survey on Data Clustering Algorithms', 2015)	0	0	1	D. Buttler, A short survey of document structure similarity algorithms, in: International Conference on Internet Computing, 2004, pp. 3–9.	A Short Survey on Data Clustering Algorithms	Ka-Chun Wong	2015
('Statistical Inference.', 1993)	0	1	1	G. Casella, R. Berger, Statistical Inference, Duxbury Press, 2002.	Statistical Inference.	G. Casella and R. L. Berger	1993
('Edge-clique graphs', 1991)	0	0	1	G. Chartrand, F. Saba, and H. B. Zou. Edge rotations and distance between graphs. Casopis pro p Ë‡ estov Ë‡ anÂ´ Â´Ä± matematiky, 110(1):87â€“91, 1985.	Edge-clique graphs	Gary Chartrand and S. F. Kapoor and Terry A. McKee and Farrokh Saba	1991
('Principal Common Divisors of Graphs', 1993)	0	0	1	G. Chartrand, W. Goddard, M.A. Henning, L. Lesniak, H.C. Swart, C.E. Wall, Which graphs are distance graphs ? Ars Comb. 29A (1990) 225–232.	Principal Common Divisors of Graphs	Gary Chartrand and Wayne Goddard and Michael A. Henning and Farrokh Saba and Henda C. Swart	1993
('Structural similarity of directed universal hierarchical graphs: A low computational complexity approach', 2007)	0	0	1	M. Dehmer A. Mehler, A new method of measuring similarity for a special class of directed graphs, Tatra Mount. Math. Publ. 36 (2007) 39â€“59.	Structural similarity of directed universal hierarchical graphs: A low computational complexity approach	Matthias Dehmer and Frank Emmert-Streib	2007
('Topological mappings between graphs, trees and generalized trees', 2007)	0	1	1	Emmert-Streib, F., Dehmer, M.: "Topolocial mappings between graphs,trees and generalized trees", Appl. Math. Comput., 2007, 186, (2),pp. 1326â€“ 1333	Topological mappings between graphs, trees and generalized trees	Frank Emmert-Streib and Matthias Dehmer	2007
('A Large Scale Analysis of Information-Theoretic Network Complexity Measures Using Chemical Structures', 2009)	0	1	1	Dehmer M, Barbarini N, Varmuza K, Graber A: A Large Scale Analysis ofInformation-Theoretic Network Complexity Measures Using ChemicalStructures. PLoS ONE 2009, 4(12).	A Large Scale Analysis of Information-Theoretic Network Complexity Measures Using Chemical Structures	Matthias Dehmer and Nicola Barbarini and Kurt Varmuza and Armin Graber	2009
('Meta-analysis of controlled clinical trialsWhitehead A (2002)ISBN 0471983705; 352 pages; £55.00; 82.50; $95.00 Wiley; http://www.wileyeurope.com/WileyCDA/WileyTitle/productCd-0471983705.html', 2004)	0	0	1	M. Dehmer, F. Emmert-Streib, S. Pickl (Eds.), Computational Network Theory, Wiley-Blackwell, Weinheim, 2015. http://eu.wiley.com/WileyCDA/WileyTitle/productCd-3527337245.html	Meta-analysis of controlled clinical trialsWhitehead A (2002)ISBN 0471983705; 352 pages; £55.00; 82.50; $95.00 Wiley; http://www.wileyeurope.com/WileyCDA/WileyTitle/productCd-0471983705.html	Steven Julious	2004
("F. Emmert-Streib, M. Dehmer, J. Kilian, Classification of large graphs by a local tree decomposition, in: H.R.A. et al. (Ed.), Proceedings of DMIN'05,International Conference on Data Mining, Las Vegas, USA, 2006, pp. 200–207.", 'CITATION ONLY')	0	0	1	F. Emmert-Streib, M. Dehmer, J. Kilian, Classification of large graphs by a local tree decomposition, in: H.R.A. et al. (Ed.), Proceedings of DMIN'05,International Conference on Data Mining, Las Vegas, USA, 2006, pp. 200–207.	A similarity measure for graphs with low computational complexity	Matthias Dehmer and Frank Emmert-Streib and Jürgen Kilian	2006
('Detecting Pathological Pathways of a Complex Disease by a Comparative Analysis of Networks', 'None')	0	1	1	F. Emmert-Streib, E.F. Glynn, C. Seidel, C.L. Bausch, A. Mushegian, Detecting pathological pathways of the chronic fatigue syndrome by the comparisonof networks, in: P. McConnell, S. Lin, A. Cuticcia (Eds.), Methods of Microarray Data Analysis VI, CreateSpace, 2009.Conference proceedings of CriticalAssessment of Microarray Data Analysis (CAMDA) held in 2006.	Detecting Pathological Pathways of a Complex Disease by a Comparative Analysis of Networks	Frank Emmert-Streib and Matthias Dehmer	None
('Erd\\u0151s-Rényi Random Graph Revisited', 'None')	0	0	1	P. Erdos and A. R Ë\x9d enyi, "On random graphs I," Publicationes MathematicaeDebrecen, vol. 6, pp. 290â€“297, 1959.	Erd\u0151s-Rényi Random Graph Revisited	Remco van der Hofstad	None
('Inferring Phylogenies.—Joseph Felsenstein. 2003. Sinauer Associates, Sunderland, Massachusetts.', 2004)	0	0	1	Felsenstein, J.: "Inferring phylogenies" (Sinauer Associates, 2003)	Inferring Phylogenies.—Joseph Felsenstein. 2003. Sinauer Associates, Sunderland, Massachusetts.	David Penny	2004
('Multivariate Generalizations of the Wald-Wolfowitz and Smirnov Two-Sample Tests', 1979)	0	1	1	J.H. Friedman, L.C. Rafsky, Multivariate generalizations of the Wald–Wolfowitz and Smirnov two-sample tests, Ann. Stat. 7 (4) (1979) 697–717.	Multivariate Generalizations of the Wald-Wolfowitz and Smirnov Two-Sample Tests	Jerome H. Friedman and Lawrence C. Rafsky	1979
('Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson)', 1982)	0	0	1	M. Garey, D. S. Johnson, Computers and Intractability: A Guide to the Theory of NP-Completeness, CA, San Francisco:W. H. Freeman, 1979.	Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson)	Juris Hartmanis	1982
('Graph grammars as an analytical tool in physics and biology', 1997)	0	0	1	Gernert, D.: "Graph grammars which generate graphs with specifiedproperties", Bull. EATCS, 1981, 13, pp. 13â€“ 20	Graph grammars as an analytical tool in physics and biology	Dieter Gernert	1997
('Graphs which Contain all Small Graphs', 1981)	0	0	1	D. Gernert, Graph grammars which generate graphs with specified properties, Bull. EATCS 13 (1981) 13–20.	Graphs which Contain all Small Graphs	Béla Bollobás and Andrew Thomason	1981
("Behavior BazaarHaberA.RunyonR. E.Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.RunyonR. E.Instructor's resource guide for Fundamentals of Psychology (2nd ed.) Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.ReeseP.HaberA.RunyonR. E.Student workbook for Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.", 1978)	0	0	1	Buckley, F., Harary, F.: Distance in graphs. Addison-Wesley Publishing Company, Reading (1990)	Behavior BazaarHaberA.RunyonR. E.Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.RunyonR. E.Instructor's resource guide for Fundamentals of Psychology (2nd ed.) Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.ReeseP.HaberA.RunyonR. E.Student workbook for Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.	None	1978
('Alignment of trees — An alternative to tree edit', 1994)	0	1	1	T. Jiang, L. Wang, K. Zhang, Alignment of trees—an alternative to tree edit, in: CPM '94: Proceedings of the Fifth Annual Symposium on CombinatorialPattern Matching, Springer-Verlag, London, UK, 1994, pp. 75–86.	Alignment of trees — An alternative to tree edit	Tao Jiang and Lusheng Wang and Kaizhong Zhang	1994
('Verzeichnis bibliographischer Datensammlungen und Datenbasen zu Grundlagen- und Anwendungsgebieten der Biotechnologie. (Directory of Bibliographic Data Bases in Biotechnology). Berlin: Akad. Wiss. DDR, Wissenschftl. Inform.-Zentrum, 1989. 110 pp.', 1990)	0	0	1	F. Kaden, Graphmetriken und Distanzgraphen, ZKI-Inform. Akad. Wiss. DDR 2 (82) (1982) 1–63.	Verzeichnis bibliographischer Datensammlungen und Datenbasen zu Grundlagen- und Anwendungsgebieten der Biotechnologie. (Directory of Bibliographic Data Bases in Biotechnology). Berlin: Akad. Wiss. DDR, Wissenschftl. Inform.-Zentrum, 1989. 110 pp.	E. Poetzsch	1990
('Länder- und Völkerkunde', 1906)	0	0	1	F. Kaden, Halbgeordnete Graphmengen und Graphmetriken, in: H. Sachs (Ed.), Graphs, Hypergraphs, and Applications, 73, Teubner, Leipzig, DDR,1985, pp. 92–95.	Länder- und Völkerkunde	None	1906
('Umweltbelastung und Gesellschaft — Luft — Boden — Technik', 1986)	0	0	1	Kaden, F.: "Graphmetriken und Isometrieprobleme zugeho rigerdistanzgraphen", ZKI-Informationen, Akad. Wiss. DDR, 1986,pp. 1 â€“100	Umweltbelastung und Gesellschaft — Luft — Boden — Technik	None	1986
('Graph Distances and Similarity', 1990)	0	1	1	F. Kaden, Graph similarity and distances, in: Bodendiek, R. Henn (Eds.), Topics in Combinatorics and Graph Theory, Physica-Verlag, 1990, pp. 397–404.	Graph Distances and Similarity	F. Kaden	1990
('Codes capable of correcting bursts of insertions and deletions', 'None')	0	0	1	Levenshtein VI (1966) Binary codes capable of correcting deletions, insertions, and reversals. Technical Report 8	Codes capable of correcting bursts of insertions and deletions	P.A.H. Bours	None
('A Network Model of Interpersonal Alignment in Dialog', 2010)	0	1	1	A. Mehler, P. WeiÃŸ, A. LÂ¨ucking, A network model of interpersonal alignment, Entropy 12 (2010) 1440â€“1483.	A Network Model of Interpersonal Alignment in Dialog	Alexander Mehler and Andy Lücking and Petra Weiß	2010
('Theorie der Sequentiellen Ersetzungssysteme (Graph-Grammatiken)', 1979)	0	0	1	M. Nagl, Graph-Grammatiken: Theorie, Anwendungen, Implementierung, Vieweg, 1979.	Theorie der Sequentiellen Ersetzungssysteme (Graph-Grammatiken)	Manfred Nagl	1979
('Spin Glasses and Complexity', 2017)	0	0	1	M.E.J. Newman, A.L. Barabasi, D.J. Watts, The Structure and Dynamics of Networks, Princeton Studies in Complexity, Princeton University Press, 2006.	Spin Glasses and Complexity	Daniel L. Stein and Charles M. Newman	2017
('PINALOG: a novel approach to align protein interaction networks—implications for complex detection and function prediction', 2012)	0	1	1	Hang TT Phan and Michael JE Sternberg. "PINALOG: a novel approach to alignprotein interaction networksâ€”implications for complex detection and function prediction".In: Bioinformatics 28.9 (2012), pp. 1239â€“1245.	PINALOG: a novel approach to align protein interaction networks—implications for complex detection and function prediction	Hang T. T. Phan and Michael J. E. Sternberg	2012
('Concepts and applications of molecular similarity, by Mark A. Johnson and Gerald M. Maggiora, eds., John Wiley & Sons, New York, 1990, 393 pp. Price: $65.00', 1992)	0	0	1	Concepts and Applications of Molecular Similarity; Johnson, M., Maggiora, G., Eds.; Wiley:â€‰ New York, 1990.	Concepts and applications of molecular similarity, by Mark A. Johnson and Gerald M. Maggiora, eds., John Wiley & Sons, New York, 1990, 393 pp. Price: $65.00	Gilles Klopmand	1992
('Salomaa                Arto. Formal languages. ACM monograph series. Academic Press, New York, San Francisco, and London, 1973, xiii + 322 pp.', 1977)	0	0	1	A. Salomaa, Formal Languages, Academic Press, 1973.	Salomaa                Arto. Formal languages. ACM monograph series. Academic Press, New York, San Francisco, and London, 1973, xiii + 322 pp.	Andrzej Blikle	1977
