hash	auto_verified	verified	checked	citation	title	author	year
('Meta-analysis of controlled clinical trialsWhitehead A (2002)ISBN 0471983705; 352 pages; £55.00; 82.50; $95.00 Wiley; http://www.wileyeurope.com/WileyCDA/WileyTitle/productCd-0471983705.html', 2004)	0	0	1	M. Dehmer, F. Emmert-Streib, S. Pickl (Eds.), Computational Network Theory, Wiley-Blackwell, Weinheim, 2015. http://eu.wiley.com/WileyCDA/ WileyTitle/productCd-3527337245.html	Meta-analysis of controlled clinical trialsWhitehead A (2002)ISBN 0471983705; 352 pages; £55.00; 82.50; $95.00 Wiley; http://www.wileyeurope.com/WileyCDA/WileyTitle/productCd-0471983705.html	Steven Julious	2004
('PINALOG: a novel approach to align protein interaction networks—implications for complex detection and function prediction', 2012)	0	1	1	Hang TT Phan and Michael JE Sternberg. "PINALOG: a novel approach to align protein interaction networksâ€”implications for complex detection and function prediction". In: Bioinformatics 28.9 (2012), pp. 1239â€“1245.	PINALOG: a novel approach to align protein interaction networks—implications for complex detection and function prediction	Hang T. T. Phan and Michael J. E. Sternberg	2012
('Time warps, string edits, and macromolecules: The theory and practice of sequence comparison. edited by D. Sankoff and J. B. Kruskal. Addison-Wesley Publishing Company, Inc., Advanced Book Program, Reading, Mass., Don Mills, Ontario, 1983. 300 pp. U. S. $31.95. ISBN 0-201-07809-0', 1985)	0	0	1	D. Sankoff, J.B. Kruskal, S. Mainville, R.J. Cedergren, Fast algorithms to determine RNA secondary structures containing multiple loops, in: D. Sankoff, J. Kruskal (Eds.), Time Warps, String Edits and Macromolecules: The Theory and Practice of Sequence Comparison, Addison-Wesley, 1983, pp. 93–120.	Time warps, string edits, and macromolecules: The theory and practice of sequence comparison. edited by D. Sankoff and J. B. Kruskal. Addison-Wesley Publishing Company, Inc., Advanced Book Program, Reading, Mass., Don Mills, Ontario, 1983. 300 pp. U. S. $31.95. ISBN 0-201-07809-0	R. Mullin	1985
('Structural similarity of directed universal hierarchical graphs: A low computational complexity approach', 2007)	0	0	1	M. Dehmer A. Mehler, A new method of measuring similarity for a special class of directed graphs, Tatra Mount. Math. Publ. 36 (2007) 39â€“59.	Structural similarity of directed universal hierarchical graphs: A low computational complexity approach	Matthias Dehmer and Frank Emmert-Streib	2007
('Ein allgemeines Modell für die Entwicklung von quantitativen Entscheidungsunterlagen auf der Grundlage von quantitativen Szenarien', 1987)	0	0	1	Sobik F: Modellierung von Vergleichsprozessen auf der Grundlage von Ã„hnlichkeitsmaÃŸen fÃ¼r Graphen. ZKI-Inf., Akad Wiss DDR 1986, 4:104-144.	Ein allgemeines Modell für die Entwicklung von quantitativen Entscheidungsunterlagen auf der Grundlage von quantitativen Szenarien	Reinhart Schultz	1987
('Graph matching for visual object recognition', 2000)	0	0	1	H. Bunke. Graph matching: Theoretical foundations, algorithms, and applications. Vision Interface, 3, 2000.	Graph matching for visual object recognition	Horst Bunke	2000
('Deriving Software Performance Models from Architectural Patterns by Graph Transformations', 2000)	0	0	1	E. Sommerfeld, Systematization and formalization of cognitive structure transformations on the basis of graph transformations, in: T. Marek (Ed.), Action and Performance: Models and Tests. Contributions to the Quantitative Psychology and Its Methodology, 1990, pp. 105–120.	Deriving Software Performance Models from Architectural Patterns by Graph Transformations	Dorina C. Petriu and Xin Wang	2000
('Erd\\u0151s-Rényi Random Graph Revisited', 'None')	0	0	1	P. ERDOS and A. RBNYI, On the evolution of random graphs, Publications of tke Matkemafical Insfifufe of the Hungarian Academy of Sciences 5 (1960) (in print).	Erd\u0151s-Rényi Random Graph Revisited	Remco van der Hofstad	None
('Länder- und Völkerkunde', 1906)	0	0	1	F. Kaden, Halbgeordnete Graphmengen und Graphmetriken, in: H. Sachs (Ed.), Graphs, Hypergraphs, and Applications, 73, Teubner, Leipzig, DDR, 1985, pp. 92–95.	Länder- und Völkerkunde	None	1906
('Color-based image retrieval using vector quantization and multivariate graph matching', 2005)	0	0	1	C. Theoharatos, N. Laskaris, G. Economou, S. Fotopoulos, A similarity measure for color image retrieval and indexing based on the multivariate two sample problem, in: Proceedings of EUSIPCO, Vienna, Austria, 2004, pp. 2307–2310.	Color-based image retrieval using vector quantization and multivariate graph matching	C. Theoharatos and G. Economou and S. Fotopoulos and N.A. Laskaris	2005
('Schneiden der Objekte und Weiterbehandeln der Schnitte', 1914)	0	0	1	Sobik, F.: "Graphmetriken und Klassifikation strukturierter Objekte", ZKIInf., Akad. Wiss. DDR, 1982, 2, (82), pp. 63â€“122	Schneiden der Objekte und Weiterbehandeln der Schnitte	P. Mayer	1914
('Graph grammars as an analytical tool in physics and biology', 1997)	0	0	1	Gernert, D.: "Graph grammars which generate graphs with specified properties", Bull. EATCS, 1981, 13, pp. 13â€“ 20	Graph grammars as an analytical tool in physics and biology	Dieter Gernert	1997
('Umweltbelastung und Gesellschaft — Luft — Boden — Technik', 1986)	0	0	1	Kaden, F.: "Graphmetriken und Isometrieprobleme zugeho riger distanzgraphen", ZKI-Informationen, Akad. Wiss. DDR, 1986, pp. 1 â€“100	Umweltbelastung und Gesellschaft — Luft — Boden — Technik	None	1986
('A Network Model of Interpersonal Alignment in Dialog', 2010)	0	1	1	A. Mehler, P. WeiÃŸ, A. LÂ¨ucking, A network model of interpersonal alignment, Entropy 12 (2010) 1440â€“1483.	A Network Model of Interpersonal Alignment in Dialog	Alexander Mehler and Andy Lücking and Petra Weiß	2010
('Studie II: Kognitive Strukturen, Produktalternativen und Kaufentscheidung', 1990)	0	0	1	Sommerfeld, E.: "Kognitive strukturen", in Mathematischpsychologische elementaranalysen der wissensstrukturierung und informationsverarbeitung (Waxmann Publishing, 1994)	Studie II: Kognitive Strukturen, Produktalternativen und Kaufentscheidung	Klaus G. Grunert	1990
('Sessions: 2017 25th European Signal Processing Conference (EUSIPCO)', 2017)	0	0	1	H. Bunke, G. Allermann, A metric on graphs for structural pattern recognition, in: EUSIPCO (Ed.), Proceedings of Second European Signal Processing Conference EUSIPCO, 1983, pp. 257–260.	Sessions: 2017 25th European Signal Processing Conference (EUSIPCO)	None	2017
('H. Bunke, M. Neuhaus, Graph matching. Exact and error-tolerant methods and the automatic learning of edit costs, in: D. Cook, L.B. Holder (Eds.),Mining Graph Data, Wiley-Interscience, 2007, pp. 17–32.', 'CITATION ONLY')	0	1	1	H. Bunke, M. Neuhaus, Graph matching. Exact and error-tolerant methods and the automatic learning of edit costs, in: D. Cook, L.B. Holder (Eds.),Mining Graph Data, Wiley-Interscience, 2007, pp. 17–32.	Graph Matching-Exact and Error-Tolerant Methods and the Automatic Learning of Edit Costs	Horst Bunke and Michel Neuhaus	2006
("M. Dehmer, A. Mehler, F. Emmert-Streib, Graph-theoretical characterizations of generalized trees, in: Proceedings of the International Conference onMachine Learning: Models, Technologies & Applications (MLMTA'07), Las Vegas/USA, 2007, 2007, pp. 113–117.", 'CITATION ONLY')	0	0	1	M. Dehmer, A. Mehler, F. Emmert-Streib, Graph-theoretical characterizations of generalized trees, in: Proceedings of the International Conference onMachine Learning: Models, Technologies & Applications (MLMTA'07), Las Vegas/USA, 2007, 2007, pp. 113–117.	Topological mappings between graphs, trees and generalized trees	Frank Emmert-Streib and Matthias Dehmer	2007
('M. Dehmer, N. Barbarini, K. Varmuza, A. Graber, A large scale analysis of information–theoretic network complexity measures using chemical structures,PLoS ONE 4 (12) (2009) e8057.', 'CITATION ONLY')	0	1	1	M. Dehmer, N. Barbarini, K. Varmuza, A. Graber, A large scale analysis of information–theoretic network complexity measures using chemical structures,PLoS ONE 4 (12) (2009) e8057.	A Large Scale Analysis of Information-Theoretic Network Complexity Measures Using Chemical Structures	Matthias Dehmer and Nicola Barbarini and Kurt Varmuza and Armin Graber	2009
("F. Emmert-Streib, M. Dehmer, J. Kilian, Classification of large graphs by a local tree decomposition, in: H.R.A. et al. (Ed.), Proceedings of DMIN'05, International Conference on Data Mining, Las Vegas, USA, 2006, pp. 200–207.", 'CITATION ONLY')	0	0	1	F. Emmert-Streib, M. Dehmer, J. Kilian, Classification of large graphs by a local tree decomposition, in: H.R.A. et al. (Ed.), Proceedings of DMIN'05, International Conference on Data Mining, Las Vegas, USA, 2006, pp. 200–207.	A similarity measure for graphs with low computational complexity	Matthias Dehmer and Frank Emmert-Streib and Jürgen Kilian	2006
('F. Emmert-Streib, E.F. Glynn, C. Seidel, C.L. Bausch, A. Mushegian, Detecting pathological pathways of the chronic fatigue syndrome by the comparison of networks, in: P. McConnell, S. Lin, A. Cuticcia (Eds.), Methods of Microarray Data Analysis VI, CreateSpace, 2009.Conference proceedings of Critical Assessment of Microarray Data Analysis (CAMDA) held in 2006.', 'CITATION ONLY')	0	1	1	F. Emmert-Streib, E.F. Glynn, C. Seidel, C.L. Bausch, A. Mushegian, Detecting pathological pathways of the chronic fatigue syndrome by the comparison of networks, in: P. McConnell, S. Lin, A. Cuticcia (Eds.), Methods of Microarray Data Analysis VI, CreateSpace, 2009.Conference proceedings of Critical Assessment of Microarray Data Analysis (CAMDA) held in 2006.	Detecting Pathological Pathways of a Complex Disease by a Comparative Analysis of Networks	Frank Emmert-Streib and Matthias Dehmer	None
('M.R. Garey, D.S. Johnson, Computers and Intractability: A Guide to the Theory of NP-Completeness, Series of Books in the Mathematical Sciences, W.H. Freeman, 1979.', 'CITATION ONLY')	0	1	1	M.R. Garey, D.S. Johnson, Computers and Intractability: A Guide to the Theory of NP-Completeness, Series of Books in the Mathematical Sciences, W.H. Freeman, 1979.	Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson)	Juris Hartmanis	1982
('H.T.T. Phan, M.J.E. Sternberg, Pinalog: a novel approach to align protein interaction networks implications for complex detection and function prediction,Bioinformatics 28 (9) (2012) 1239–1245.', 'CITATION ONLY')	0	1	1	H.T.T. Phan, M.J.E. Sternberg, Pinalog: a novel approach to align protein interaction networks implications for complex detection and function prediction,Bioinformatics 28 (9) (2012) 1239–1245.	PINALOG: a novel approach to align protein interaction networks—implications for complex detection and function prediction	Hang T. T. Phan and Michael J. E. Sternberg	2012
('M. Randic, Design of molecules with desired properties. molecular similarity approach to property optimization, in: M.A. Johnson, G. Maggiora (Eds.),Concepts and Applications of Molecular Similarity, Wiley, 1990, pp. 77–145.', 'CITATION ONLY')	0	0	1	M. Randic, Design of molecules with desired properties. molecular similarity approach to property optimization, in: M.A. Johnson, G. Maggiora (Eds.),Concepts and Applications of Molecular Similarity, Wiley, 1990, pp. 77–145.	Concepts and applications of molecular similarity, by Mark A. Johnson and Gerald M. Maggiora, eds., John Wiley & Sons, New York, 1990, 393 pp. Price: $65.00	Gilles Klopmand	1992
('E. Sommerfeld, Kognitive Strukturen. Mathematisch-psychologische Elementaranalysen der Wissensstrukturierung und Informationsverarbeitung,Waxmann Publishing, 1994.', 'CITATION ONLY')	0	0	1	E. Sommerfeld, Kognitive Strukturen. Mathematisch-psychologische Elementaranalysen der Wissensstrukturierung und Informationsverarbeitung,Waxmann Publishing, 1994.	Studie II: Kognitive Strukturen, Produktalternativen und Kaufentscheidung	Klaus G. Grunert	1990
