hash	title	auto_verified	verified	checked	file_loc	citation	len(ref_list)
('Fifty years of graph matching, network alignment and network comparison', 2016)	Fifty years of graph matching, network alignment and network comparison	1	1	1	./bibliographies\database1.txt	Frank Emmert-Streib, Matthias Dehmer, Yongtang Shi, Fifty years of graph matching network alignment and network comparison	125
('A linear programming approach for the weighted graph matching problem', 1993)	A linear programming approach for the weighted graph matching problem	1	1	1	./bibliographies\database10.txt	H. A. Almohamad, S. O. Duffuaa, A linear programming approach for the weighted graph matching problem	12
('Pattern recognition by homomorphic graph matching using Hopfield neural networks', 1995)	Pattern recognition by homomorphic graph matching using Hopfield neural networks	1	1	1	./bibliographies\database100.txt	P N Suganthan, E K Teoh, D P Mital, Pattern recognition by homomorphic graph matching using Hopfield neural networks	47
('Retinal Fundus Image Registration via Vascular Structure Graph Matching', 2010)	Retinal Fundus Image Registration via Vascular Structure Graph Matching	1	1	1	./bibliographies\database101.txt	Kexin Deng, Jie Tian,Jian Zheng, Xing Zhang, Xiaoqian Dai, Min Xu, Retinal fundus image registration via vascular structure graph matching	33
('Hadamard equivalence via graph isomorphism', 1979)	Hadamard equivalence via graph isomorphism	1	1	1	./bibliographies\database104.txt	Brendan D McKay, Hadamard equivalence via graph isomorphism	1
('Symbol recognition in electrical diagrams using probabilistic graph matching', 1985)	Symbol recognition in electrical diagrams using probabilistic graph matching	1	1	1	./bibliographies\database105.txt	Frans C A Groen, Arthur C Sanderson, John F Schlag, Symbol recognition in electrical diagrams using probabilistic graph matching	11
('Parallel algorithms for permutation groups and graph isomorphism', 1986)	Parallel algorithms for permutation groups and graph isomorphism	1	1	1	./bibliographies\database106.txt	Eugene M. Luks, Parallel algorithms for permutation groups and graph isomorphism	29
('A Randomized Heuristic for Scene Recognition by Graph Matching', 2004)	A Randomized Heuristic for Scene Recognition by Graph Matching	1	1	1	./bibliographies\database107.txt	Maria C. Boeres, Celso C. Ribeiro, Isabelle Bloch, A Randomized Heuristic for Scene Recognition by Graph Matching	21
('DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases', 2009)	DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases	1	1	1	./bibliographies\database108.txt	Matthias Bröcheler, Andrea Pugliese, V. S. Subrahmanian, DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases	23
('A classical approach to the graph isomorphism problem using quantum walks', 2008)	A classical approach to the graph isomorphism problem using quantum walks	1	1	1	./bibliographies\database109.txt	Brendan L Douglas, Jingbo B Wang, A classical approach to the graph isomorphism problem using quantum walks	17
('Recent developments in graph matching', 'None')	Recent developments in graph matching	1	1	1	./bibliographies\database11.txt	H. Bunke, Recent developments in graph matching	0
('Conceptual graph matching: a flexible algorithm and experiments', 1992)	Conceptual graph matching: a flexible algorithm and experiments	1	1	1	./bibliographies\database110.txt	SUNG H. MYAENG, AURELIO LOPEZ-LOPEZ, Conceptual graph matching: a flexible algorithm and experiments	8
