hash	verified	citation	URL	DOI	year	title	author
('Erd\\u0151s-Rényi Random Graph Revisited', 'None')	0.0	P. ERDOS and A. RBNYI, On the evolution of random graphs, Publications of tke Matkemafical Insfifufe of the Hungarian Academy of Sciences 5 (1960) (in print).	http://dx.doi.org/10.1017/9781316779422.007	10.1017/9781316779422.007	None	Erd\u0151s-Rényi Random Graph Revisited	Remco van der Hofstad
('Stability of certain dynamical systems', 1975.0)	0.0	B. Zelinka, On a certain distance between isomorphism classes of graphs, Casopis pro pest. Math. 100 (1975) 371–373.	http://dx.doi.org/10.4153/cmb-1975-067-8	10.4153/cmb-1975-067-8	1975.0	Stability of certain dynamical systems	Clark Jeffries
('Time warps, string edits, and macromolecules: The theory and practice of sequence comparison. edited by D. Sankoff and J. B. Kruskal. Addison-Wesley Publishing Company, Inc., Advanced Book Program, Reading, Mass., Don Mills, Ontario, 1983. 300 pp. U. S. $31.95. ISBN 0-201-07809-0', 1985.0)	0.0	D. Sankoff, J.B. Kruskal, S. Mainville, R.J. Cedergren, Fast algorithms to determine RNA secondary structures containing multiple loops, in: D. Sankoff, J. Kruskal (Eds.), Time Warps, String Edits and Macromolecules: The Theory and Practice of Sequence Comparison, Addison-Wesley, 1983, pp. 93–120.	http://dx.doi.org/10.2307/3314879	10.2307/3314879	1985.0	Time warps, string edits, and macromolecules: The theory and practice of sequence comparison. edited by D. Sankoff and J. B. Kruskal. Addison-Wesley Publishing Company, Inc., Advanced Book Program, Reading, Mass., Don Mills, Ontario, 1983. 300 pp. U. S. $31.95. ISBN 0-201-07809-0	R. Mullin
('Edge-clique graphs', 1991.0)	0.0	G. Chartrand, F. Saba, and H. B. Zou. Edge rotations and distance between graphs. Casopis pro p Ë‡ estov Ë‡ anÂ´ Â´Ä± matematiky, 110(1):87â€“91, 1985.	http://dx.doi.org/10.1007/bf01787631	10.1007/bf01787631	1991.0	Edge-clique graphs	Gary Chartrand and S. F. Kapoor and Terry A. McKee and Farrokh Saba
('Structural similarity of directed universal hierarchical graphs: A low computational complexity approach', 2007.0)	0.0	M. Dehmer A. Mehler, A new method of measuring similarity for a special class of directed graphs, Tatra Mount. Math. Publ. 36 (2007) 39â€“59.	http://dx.doi.org/10.1016/j.amc.2007.04.006	10.1016/j.amc.2007.04.006	2007.0	Structural similarity of directed universal hierarchical graphs: A low computational complexity approach	Matthias Dehmer and Frank Emmert-Streib
('Principal Common Divisors of Graphs', 1993.0)	0.0	G. Chartrand, W. Goddard, M.A. Henning, L. Lesniak, H.C. Swart, C.E. Wall, Which graphs are distance graphs ? Ars Comb. 29A (1990) 225–232.	http://dx.doi.org/10.1006/eujc.1993.1012	10.1006/eujc.1993.1012	1993.0	Principal Common Divisors of Graphs	Gary Chartrand and Wayne Goddard and Michael A. Henning and Farrokh Saba and Henda C. Swart
('Codes capable of correcting bursts of insertions and deletions', 'None')	0.0	Levenshtein VI (1966) Binary codes capable of correcting deletions, insertions, and reversals. Technical Report 8	http://dx.doi.org/10.1109/isit.1994.394907	10.1109/isit.1994.394907	None	Codes capable of correcting bursts of insertions and deletions	P.A.H. Bours
('Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson)', 1982.0)	0.0	M.R. Garey, D.S. Johnson, Computers and Intractability: A Guide to the Theory of NP-Completeness, Series of Books in the Mathematical Sciences, W. H. Freeman, 1979.	http://dx.doi.org/10.1137/1024022	10.1137/1024022	1982.0	Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson)	Juris Hartmanis
('Some flexible information retrieval systems using structure matching procedures', 1964.0)	0.0	E.H. Sussenguth, Structural Matching in Information Processing, Harvard University, USA, 1964 Ph.D. thesis.	http://dx.doi.org/10.1145/1464122.1464178	10.1145/1464122.1464178	1964.0	Some flexible information retrieval systems using structure matching procedures	Gerald Salton and Edward H. Sussenguth
('Studie II: Kognitive Strukturen, Produktalternativen und Kaufentscheidung', 1990.0)	0.0	Sommerfeld, E.: "Kognitive strukturen", in Mathematischpsychologische elementaranalysen der wissensstrukturierung und informationsverarbeitung (Waxmann Publishing, 1994)	http://dx.doi.org/10.1007/978-3-642-48104-8_7	10.1007/978-3-642-48104-8_7	1990.0	Studie II: Kognitive Strukturen, Produktalternativen und Kaufentscheidung	Klaus G. Grunert
('Ein allgemeines Modell für die Entwicklung von quantitativen Entscheidungsunterlagen auf der Grundlage von quantitativen Szenarien', 1987.0)	0.0	Sobik F: Modellierung von Vergleichsprozessen auf der Grundlage von Ã„hnlichkeitsmaÃŸen fÃ¼r Graphen. ZKI-Inf., Akad Wiss DDR 1986, 4:104-144.	http://dx.doi.org/10.1007/978-3-322-87917-2_4	10.1007/978-3-322-87917-2_4	1987.0	Ein allgemeines Modell für die Entwicklung von quantitativen Entscheidungsunterlagen auf der Grundlage von quantitativen Szenarien	Reinhart Schultz
('Ludwig-Maximilians-Universität München, Institut für Ethnologie', 'None')	0.0	M. Borgwardt, Graph Kernels, Ludwig-Maximilians-Universitat Munchen, Fakultat fur Mathematik, Informatik und Statistik, 2007 Ph.D. thesis.	http://dx.doi.org/10.1163/_afco_asc_1589	10.1163/_afco_asc_1589	None	Ludwig-Maximilians-Universität München, Institut für Ethnologie	None
