hash	citation	verified	new_hash	author	title	URL	DOI	year	reference_count	is_referenced_by_count
('Gross J and Yellen J (ed) 2004 Handbook of Graph Theory (Boca Raton, FL: CRC Press)', 'CITATION ONLY')	Gross J and Yellen J (ed) 2004 Handbook of Graph Theory (Boca Raton, FL: CRC Press)	1	('2004 Handbook of Graph Theory', 2004)	J Gross and J Yellen	2004 Handbook of Graph Theory	http://dx.doi.org/10.1002/amo.860040608	10.1002/amo.860040608	2004		
('C. Bauckhage, S. Wachsmuth and G. Sagerer, 3D assembly recognition by matching functional subparts, in Proc. 3rd IAPR-TC15 Workshop on Graph-Based Representations in Pattern Recognition, 2001, pp. 95â€“104.', 'CITATION ONLY')	C. Bauckhage, S. Wachsmuth and G. Sagerer, 3D assembly recognition by matching functional subparts, in Proc. 3rd IAPR-TC15 Workshop on Graph-Based Representations in Pattern Recognition, 2001, pp. 95â€“104.	1	('3D assembly recognition by matching functional subparts', 2001)	Christian Bauckhage and S Wachsmuth and Gerhard Sagerer	3D assembly recognition by matching functional subparts	http://dx.doi.org/10.1007/3-540-45404-7_24	10.1007/3-540-45404-7_24	2001		
('Memorizing Visual Knowledge for Assembly Process Monitoring', 2001.0)	C. Bauckhage, S. Wachsmuth, G. Sagerer, "3D Assembly Recognition by Matching Functional Subparts", 3rd IAPR-TCIS Workshop on Graph-based Representations in Pattern Recognition, pp. 95-104, 2001.	1	('3D assembly recognition by matching functional subparts', 2001)	Christian Bauckhage and S Wachsmuth and Gerhard Sagerer	3D assembly recognition by matching functional subparts	http://dx.doi.org/10.1007/3-540-45404-7_24	10.1007/3-540-45404-7_24	2001		
('Quality analysis on 3D building models reconstructed from airborne laser scanning data', 2011.0)	Schwalbe, E.; Maas, H.-G.; Seidel, F. 3D Building model generation from airborne laser scanner data using 2D GIS data and orthogonal point cloud projections. In Workshop â€œLaser scanning 2005â€\x9d; International Archives of Photogrammetry, Remote Sensing and Spatial Information Sciences: Enschede, The Netherlands, 2005; Volume 36, pp. 209â€“214.	1	('3D Building model generation from airborne laser scanner data using 2D GIS data and orthogonal point cloud projections', 2005)	E Schwalbe and H G Maas and F Seidel	3D Building model generation from airborne laser scanner data using 2D GIS data and orthogonal point cloud projections	http://dx.doi.org/10.1016/j.isprsjprs.2010.09.009	10.1016/j.isprsjprs.2010.09.009	2005		
('Building modeling from noisy photogrammetric point clouds', 2014.0)	Vosselman, G.; Dijkman, S. 3D building model reconstruction from point clouds and ground plans. In ISPRS Workshop Land Surface Mapping and Characterization Using Laser Altimetry; International Archives of Photogrammetry, Remote Sensing and Spatial Information Sciences: Annapolis, MD, USA, 2001; Volume 34, pp. 37â€“43.	1	('3D building model reconstruction from point clouds and ground plans', 2001)	S Djikman and G. Vosselman	3D building model reconstruction from point clouds and ground plans	http://dx.doi.org/10.5194/isprsannals-ii-3-197-2014	10.5194/isprsannals-ii-3-197-2014	2001		
('M. Green, P. Karp, "A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases", BMC Bioinformatics, vol. 5, pp. 76, 2004.', 'CITATION ONLY')	M. Green, P. Karp, "A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases", BMC Bioinformatics, vol. 5, pp. 76, 2004.	1	('A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases', 2004)	Michelle L Green and Peter D Karp	A Bayesian Method for Identifying Missing Enzymes in Predicted Metabolic Pathway Databases	http://dx.doi.org/10.1186/1471-2105-5-76	10.1186/1471-2105-5-76	2004		
('Robust object and face recognition using a biologically plausible model', 2010.0)	T. Lourens, A biologically plausible model for corner-based object recognition from color images, University of Groningen, 1998.	1	('A biologically plausible model for corner-based object recognition from color images', 1998)	T Lourens	A biologically plausible model for corner-based object recognition from color images	http://dx.doi.org/10.1167/10.7.1015	10.1167/10.7.1015	1998		
('Xu,Y., Murray,B.E. and Weinstock,G.M. (1998) Infect. Immun. , 66, 4313â€“4323.', 'CITATION ONLY')	Xu,Y., Murray,B.E. and Weinstock,G.M. (1998) Infect. Immun. , 66, 4313â€“4323.	1	('A cluster of genes involved in polysaccharide biosynthesis from Enterococcus faecalis OG1RF', 1998)	Yi Xu and George M. Weinstock and Barbara E. Murray	A cluster of genes involved in polysaccharide biosynthesis from Enterococcus faecalis OG1RF	http://dx.doi.org/10.1023/a:1009803328200	10.1023/a:1009803328200	1998		
('Adaptive name matching in information integration', 2003.0)	Cohen, W. W., Ravikumar, P., and Fienberg, S. 2003. A comparison of string metrics for matching names and records. In Proceedings of the KDD Workshop on Data Cleaning and Object Consolidation. ACM, New York.	1	('A comparison of string metrics for matching names and records', 2003)	R. Mooney and W. Cohen and P. Ravikumar and S. Fienberg	A comparison of string metrics for matching names and records	http://dx.doi.org/10.1109/mis.2003.1234765	10.1109/mis.2003.1234765	2003		
('W. W. Cohen, P. Ravikumar, S. Fienberg, "A comparison of string metrics for matching names and records", Proc. of the KDD Workshop on Data Cleaning and Object Consolidation, 2003.', 'CITATION ONLY')	W. W. Cohen, P. Ravikumar, S. Fienberg, "A comparison of string metrics for matching names and records", Proc. of the KDD Workshop on Data Cleaning and Object Consolidation, 2003.	1	('A comparison of string metrics for matching names and records', 2003)	R. Mooney and W. Cohen and P. Ravikumar and S. Fienberg	A comparison of string metrics for matching names and records	http://dx.doi.org/10.1109/mis.2003.1234765	10.1109/mis.2003.1234765	2003		
('Black shale studies in Kentucky. Quarterly report', 1978.0)	P.K. Shizume, C.G. Hefner Jr A computer technical fingerprint search system Proc. 1978 Carnahan Conf. on Crime Countermeasures, Univ. of Kentucky, Lexington, Kentucky (1978), pp. 121-129	1	('A computer technical fingerprint search system', 1978)	P K Shizume and C G Hefner JR	A computer technical fingerprint search system	http://dx.doi.org/10.2172/6376001	10.2172/6376001	1978		
('P. Foggia, C. Sansone, M. Vento, "A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking", Proc. Third IAPR TC-15 Int\'l Workshop Graph Based Representations, pp. 176-188, 2001.', 'CITATION ONLY')	P. Foggia, C. Sansone, M. Vento, "A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking", Proc. Third IAPR TC-15 Int'l Workshop Graph Based Representations, pp. 176-188, 2001.	1	('A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking', 2001)	M. De Santo and P. Foggia and C. Sansone and M. Vento	A Database of Graphs for Isomorphism and Sub Graph Isomorphism Benchmarking	http://dx.doi.org/10.1016/s0167-8655(02)00253-2	10.1016/s0167-8655(02)00253-2	2001		
