citation	hash	is_parent	auto_verified	verified	year	title	author	URL	file_loc	reference_count	is_referenced_by_count
Frank Emmert-Streib, Matthias Dehmer, Yongtang Shi, Fifty years of graph matching network alignment and network comparison	('Fifty years of graph matching, network alignment and network comparison', 2016.0)	True	1.0	1.0	2016.0	Fifty years of graph matching, network alignment and network comparison	Frank Emmert-Streib and Matthias Dehmer and Yongtang Shi	http://dx.doi.org/10.1016/j.ins.2016.01.074	./bibliographies\database1.txt	125.0	28.0
H. A. Almohamad, S. O. Duffuaa, A linear programming approach for the weighted graph matching problem	('A linear programming approach for the weighted graph matching problem', 1993.0)	True	1.0	1.0	1993.0	A linear programming approach for the weighted graph matching problem	H.A. Almohamad and S.O. Duffuaa	http://dx.doi.org/10.1109/34.211474	./bibliographies\database10.txt	12.0	113.0
P N Suganthan, E K Teoh, D P Mital, Pattern recognition by homomorphic graph matching using Hopfield neural networks	('Pattern recognition by homomorphic graph matching using Hopfield neural networks', 1995.0)	True	1.0	1.0	1995.0	Pattern recognition by homomorphic graph matching using Hopfield neural networks	PN Suganthan and EK Teoh and DP Mital	http://dx.doi.org/10.1016/0262-8856(95)91467-r	./bibliographies\database100.txt	47.0	28.0
Kexin Deng, Jie Tian,Jian Zheng, Xing Zhang, Xiaoqian Dai, Min Xu, Retinal fundus image registration via vascular structure graph matching	('Retinal Fundus Image Registration via Vascular Structure Graph Matching', 2010.0)	True	1.0	1.0	2010.0	Retinal Fundus Image Registration via Vascular Structure Graph Matching	Kexin Deng and Jie Tian and Jian Zheng and Xing Zhang and Xiaoqian Dai and Min Xu	http://dx.doi.org/10.1155/2010/906067	./bibliographies\database101.txt	28.0	25.0
Brendan D McKay, Hadamard equivalence via graph isomorphism	('Hadamard equivalence via graph isomorphism', 1979.0)	True	1.0	1.0	1979.0	Hadamard equivalence via graph isomorphism	Brendan D. McKay	http://dx.doi.org/10.1016/0012-365x(79)90113-4	./bibliographies\database104.txt	1.0	17.0
Frans C A Groen, Arthur C Sanderson, John F Schlag, Symbol recognition in electrical diagrams using probabilistic graph matching	('Symbol recognition in electrical diagrams using probabilistic graph matching', 1985.0)	True	1.0	1.0	1985.0	Symbol recognition in electrical diagrams using probabilistic graph matching	Frans C.A Groen and Arthur C Sanderson and John F Schlag	http://dx.doi.org/10.1016/0167-8655(85)90066-2	./bibliographies\database105.txt	12.0	19.0
Eugene M. Luks, Parallel algorithms for permutation groups and graph isomorphism	('Parallel algorithms for permutation groups and graph isomorphism', 1986.0)	True	1.0	1.0	1986.0	Parallel algorithms for permutation groups and graph isomorphism	Eugene M. Luks	http://dx.doi.org/10.1109/sfcs.1986.39	./bibliographies\database106.txt	29.0	13.0
Maria C. Boeres, Celso C. Ribeiro, Isabelle Bloch, A Randomized Heuristic for Scene Recognition by Graph Matching	('A Randomized Heuristic for Scene Recognition by Graph Matching', 2004.0)	True	1.0	1.0	2004.0	A Randomized Heuristic for Scene Recognition by Graph Matching	Maria C. Boeres and Celso C. Ribeiro and Isabelle Bloch	http://dx.doi.org/10.1007/978-3-540-24838-5_8	./bibliographies\database107.txt	0.0	11.0
Matthias BrÃ¶cheler, Andrea Pugliese, V. S. Subrahmanian, DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases	('DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases', 2009.0)	True	1.0	1.0	2009.0	DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases	Matthias Bröcheler and Andrea Pugliese and V. S. Subrahmanian	http://dx.doi.org/10.1007/978-3-642-04930-9_7	./bibliographies\database108.txt	0.0	12.0
Brendan L Douglas, Jingbo B Wang, A classical approach to the graph isomorphism problem using quantum walks	('A classical approach to the graph isomorphism problem using quantum walks', 2008.0)	True	1.0	1.0	2008.0	A classical approach to the graph isomorphism problem using quantum walks	Brendan L Douglas and Jingbo B Wang	http://dx.doi.org/10.1088/1751-8113/41/7/075303	./bibliographies\database109.txt	20.0	43.0
