hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('Clinical Medicine Insights: Urology', None)	CMU, Cmu graphics lab motion capture database, http://mocap.cs.cmu.edu/ (2013)	0	2		None	Clinical Medicine Insights: Urology	None	http://dx.doi.org/10.4137/cmu	10.4137/cmu
('Context-aware personal communication for teleliving', 1998.0)	Knill, Manny. Personal communication, November 1998.	0	2		Theo Kanter and Claes Frisk and Henrik Gustafsson	Context-aware personal communication for teleliving	1998	http://dx.doi.org/10.1007/bf01885564	10.1007/bf01885564
('Multiclass recognition and part localization with humans in the loop', 2011)	C. Wah, S. Branson, P. Welinder, P. Perona, and S. Belongie. The Caltech-UCSD Birds-200-2011 Dataset. Technical Report CNS-TR-2011-001, California Institute of Technology, 2011.	0	2		Catherine Wah and Steve Branson and Pietro Perona and Serge Belongie	Multiclass recognition and part localization with humans in the loop	2011	http://dx.doi.org/10.1109/iccv.2011.6126539	10.1109/iccv.2011.6126539
('National Institute of Neurological Disorders and Stroke (NINDS)', None)	National Institute of Neurological Disorders and Stroke (NINDS). Huntington’s Disease Information Page [Internet]. 2016 Jan 28. Available from: https://www.ninds.nih.gov/Disorders/All-Disorders/HuntingtonsDisease-Information-Page (Accessed 29 Dec 2017).	0	2		Kelly Boyer	National Institute of Neurological Disorders and Stroke (NINDS)	None	http://dx.doi.org/10.4135/9781412963855.n835	10.4135/9781412963855.n835
('NCBI Sequence Read Archive (SRA) accession numbers for fastq sequence files for each zooplankton community sample (Plankton Population Genetics project)', 2017)	National Center for Biotechnology Information (NCBI). NCBI Sequence Read Archive (SRA) [Internet]. 2015 Sep 15. Available from: https://www.ncbi.nlm. nih.gov/sra (Accessed 30 Dec 2017).	0	2		Erica Goetze	NCBI Sequence Read Archive (SRA) accession numbers for fastq sequence files for each zooplankton community sample (Plankton Population Genetics project)	2017	http://dx.doi.org/10.1575/1912/bco-dmo.704665	10.1575/1912/bco-dmo.704665
('Real-time 100 object recognition system', None)	Nene, S.A., Nayar, S.K., Murase, H.: Columbia object image library (coil-20). Technical report CUCS-005-96, Location (1996)	0	2		S.K. Nayar and S.A. Nene and H. Murase	Real-time 100 object recognition system	None	http://dx.doi.org/10.1109/robot.1996.506510	10.1109/robot.1996.506510
('Solnon, Daniel', 2011)	C. Solnon, Solnon datasets, 2017, (http://liris.cnrs.fr/csolnon/SIP.html).	0	2		None	Solnon, Daniel	2011	http://dx.doi.org/10.1093/benz/9780199773787.article.b00171942	10.1093/benz/9780199773787.article.b00171942
('Tom�s y Valiente a destiempo', None)	G. Valiente, Larrosa valiente dataset, 2017, (http://www.cs.upc.edu/~valiente/research.html).	0	2		Jes�s Vallejo	Tom�s y Valiente a destiempo	None	http://dx.doi.org/10.2307/j.ctt1hj9wfw.7	10.2307/j.ctt1hj9wfw.7
('[Who Solved the Secretary Problem?]: Rejoinder', 1989)	Thomas S. Ferguson. Who solved the secretary problem? Statist. Sci., 4(3):282–296, 1989. With comments and a rejoinder by the author.	1	1		Thomas S. Ferguson	[Who Solved the Secretary Problem?]: Rejoinder	1989	http://dx.doi.org/10.1214/ss/1177012498	10.1214/ss/1177012498
('P. J. Besl and N. D. McKay. Method for registration of 3-d shapes. In Robotics-DL tentative, pages 586–606. International Society for Optics and Photonics, 1992.', 'CITATION ONLY')	P. J. Besl and N. D. McKay. Method for registration of 3-d shapes. In Robotics-DL tentative, pages 586–606. International Society for Optics and Photonics, 1992.	1	1		Paul J. Besl and Neil D. McKay	<title>Method for registration of 3-D shapes</title>	1992	http://dx.doi.org/10.1117/12.57955	10.1117/12.57955
