hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('None', 2000.0)	Berman, H. M., Westbrook, J., Feng, Z., Gilliland, G., Bhat, T. N., Weissig, H., Shindyalov, I. N. & Bourne, P. E. (2000). Nucleic Acids Res. pp. 235-242.	1	1	('The protein data bank, 1999–', 2000)	Helen M. Berman and T. N. Bhat and Philip E. Bourne and Zukang Feng and Gary Gilliland and Helge Weissig and John Westbrook	The protein data bank, 1999–	2000	http://dx.doi.org/10.1038/80734	10.1038/80734
('None', 2002.0)	Raymond, J. & Willett, P. J. (2002). Comput. Aided Mol. Des. 16, 521- 533.	1	1	('Maximum common subgraph isomorphism algorithms for the matching of chemical structures', 2002)	John W. Raymond and Peter Willett	Maximum common subgraph isomorphism algorithms for the matching of chemical structures	2002	http://dx.doi.org/10.1023/a:1021271615909	10.1023/a:1021271615909
('None', 1997.0)	I. M. Bomze, Evolution towards the maximum clique, J. Global Optim. 10 (1997) 143â€“164.	1	1	('Evolution towards the maximum clique', 1997)	Immanuel M. Bomze	Evolution towards the maximum clique	1997	http://dx.doi.org/10.1023/a:1008230200610	10.1023/a:1008230200610
('None', 1998.0)	Rarey, M.; Dixon, J. S. Feature Trees: A New Molecular Similarity Measure Based on Tree Matching J. Comput.-Aided Mol. Des. 1998, 12, 471-90.	1	1	('Feature Trees: A New Molecular Similarity Measure Based on Tree Matching', 1998)	Matthias Rarey and J. Scott Dixon	Feature Trees: A New Molecular Similarity Measure Based on Tree Matching	1998	http://dx.doi.org/10.1023/a:1008068904628	10.1023/a:1008068904628
('None', 2003.0)	Kramer, A.; Horn, H. W.; Rice, J. E. Fast 3D Molecular Superposition and Similarity Search in Databases of Flexible Molecules. J. Comput.- Aided Mol. Des. 2003, 17 (1), 13-38.	1	1	('Fast 3D Molecular Superposition and Similarity Search in Databases of Flexible Molecules', 2003)	Andreas Krämer and Hans W. Horn and Julia E. Rice	Fast 3D Molecular Superposition and Similarity Search in Databases of Flexible Molecules	2003	http://dx.doi.org/10.1023/a:1024503712135	10.1023/a:1024503712135
('None', 1999.0)	Stephens,R.S., Kalman,S., Lammel,C., Fan,J., Marathe,R., Aravind,L., Mitchell,W., Olinger,L., Tatusov,R.L., Zhao,Q. et al. (1998) Science , 282, 754â€“759.	1	1	('Genome sequence of an obligate intracellular pathogen of humans: Chlamydia trachomatis', 1998)	Richard Stephens and Sue Kalman and Wayne Mitchell and Rekha Marathe and Claudia Lammel and Jun Fan and Richard W Hyman and Lynn Olinger and Jane Grimwood and Ronald W Davis	Genome sequence of an obligate intracellular pathogen of humans: Chlamydia trachomatis	1998	http://dx.doi.org/10.1038/7716	10.1038/7716
('None', 2006.0)	Suthram, S., Shlomi, T., Ruppin, E., Sharan, R. & Ideker, T. in Proceedings of the First Annual RECOMB Systems Biology Workshop, vol. 1 (2005).	1	1	('Modeling cellular machinery through biological network comparison', 2005)	Silpa Suthram and Tomer Shlomi and Eytan Ruppin and Roded Sharan and Trey Ideker	Modeling cellular machinery through biological network comparison	2005	http://dx.doi.org/10.1186/1471-2105-7-360	10.1186/1471-2105-7-360
('None', 2004.0)	Berg, J., Lassig, M. & Wagner, A. Structure and evolution of protein interaction networks: a statistical model for link dynamics and gene duplications. BMC Evol. Biol. 4, 51 (2004).	1	1	('Structure and evolution of protein interaction networks: a statistical model for link dynamics and gene duplications', 2004)	Johannes Berg and Michael Lässig and Andreas Wagner	Structure and evolution of protein interaction networks: a statistical model for link dynamics and gene duplications	2004	http://dx.doi.org/10.1186/1471-2148-4-51	10.1186/1471-2148-4-51
('None', 2005.0)	Wolfe CJ, Kohane IS, Butte AJ (2005) Systematic survey reveals general applicability of "guilt-byassociation" within gene coexpression networks. BMC Bioinformatics 6: 227	1	1	('Systematic survey reveals general applicability of guilt-byassociation within gene coexpression networks.', 2005)	Cecily J Wolfe and Isaac S Kohane and Atul J Butte	Systematic survey reveals general applicability of guilt-byassociation within gene coexpression networks.	2005	http://dx.doi.org/10.1186/1471-2105-6-227	10.1186/1471-2105-6-227
('None', 1990.0)	J.W. Shavlick and T.G. Dietterich, editors. Readings in Machine Learning. Morgan Kaufman, San Mateo, 1990.	1	1	('Readings in Machine Learning', 1990)	Thomas G. Dietterich	Readings in Machine Learning	1990	http://dx.doi.org/10.1023/a:1022655507603	10.1023/a:1022655507603
