hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('Context-aware personal communication for teleliving', 1998.0)	Knill, Manny. Personal communication, November 1998.	0	2		Theo Kanter and Claes Frisk and Henrik Gustafsson	Context-aware personal communication for teleliving	1998	http://dx.doi.org/10.1007/bf01885564	10.1007/bf01885564
('National Institute of Neurological Disorders and Stroke (NINDS)', 'None')	National Institute of Neurological Disorders and Stroke (NINDS). Huntingtonâ€™s Disease Information Page [Internet]. 2016 Jan 28. Available from: https://www.ninds.nih.gov/Disorders/All-Disorders/HuntingtonsDisease-Information-Page (Accessed 29 Dec 2017).	0	2		Kelly Boyer	National Institute of Neurological Disorders and Stroke (NINDS)	None	http://dx.doi.org/10.4135/9781412963855.n835	10.4135/9781412963855.n835
('NCBI Sequence Read Archive (SRA) accession numbers for fastq sequence files for each zooplankton community sample (Plankton Population Genetics project)', 2017.0)	National Center for Biotechnology Information (NCBI). NCBI Sequence Read Archive (SRA) [Internet]. 2015 Sep 15. Available from: https://www.ncbi.nlm. nih.gov/sra (Accessed 30 Dec 2017).	0	2		Erica Goetze	NCBI Sequence Read Archive (SRA) accession numbers for fastq sequence files for each zooplankton community sample (Plankton Population Genetics project)	2017	http://dx.doi.org/10.1575/1912/bco-dmo.704665	10.1575/1912/bco-dmo.704665
('Weakly Supervised 3D Reconstruction with Adversarial Constraint', 2017)	C. B. Choy, J. Gwak, S. Savarese, and M. Chandraker. Universal correspondence network. In Advances in Neural Information Processing Systems, pages 2406–2414, 2016.	1	1	('Universal correspondence network', 2016)	JunYoung Gwak and Christopher B. Choy and Manmohan Chandraker and Silvio Savarese	Universal correspondence network	2016	http://dx.doi.org/10.1109/3dv.2017.00038	10.1109/3dv.2017.00038
('The Pascal Visual Object Classes (VOC) Challenge', 2009)	M. Everingham and J. Winn. The pascal visual object classes challenge 2011 (voc2011) development kit. Pattern Analysis, Statistical Modelling and Computational Learning, Tech. Rep, 2011.	1	1	('The pascal visual object classes challenge 2011 (voc2011) development kit.', 2011)	Mark Everingham and John Winn	he pascal visual object classes challenge 2011 (voc2011) development kit.	2011	http://dx.doi.org/10.1007/s11263-009-0275-4	10.1007/s11263-009-0275-4
('Multiclass recognition and part localization with humans in the loop', 2011.0)	C. Wah, S. Branson, P. Welinder, P. Perona, and S. Belongie. The Caltech-UCSD Birds-200-2011 Dataset. Technical Report CNS-TR-2011-001, California Institute of Technology, 2011.	0	2		Catherine Wah and Steve Branson and Pietro Perona and Serge Belongie	Multiclass recognition and part localization with humans in the loop	2011	http://dx.doi.org/10.1109/iccv.2011.6126539	10.1109/iccv.2011.6126539
('Persistent Data-only Malware: Function Hooks without Code', 2014)	Sharif, M., et al.: Impeding malware analysis using conditional code obfuscation. In: Network and Distributed System Security Symposium (2008)	1	1	('Impeding malware analysis using conditional code obfuscation.', 2008)	M Sharif	Impeding malware analysis using conditional code obfuscation.	2008	http://dx.doi.org/10.14722/ndss.2014.23019	10.14722/ndss.2014.23019
('Solnon, Daniel', 2011.0)	C. Solnon, Solnon datasets, 2017, (http://liris.cnrs.fr/csolnon/SIP.html).	0	2		None	Solnon, Daniel	2011	http://dx.doi.org/10.1093/benz/9780199773787.article.b00171942	10.1093/benz/9780199773787.article.b00171942
('Tom�s y Valiente a destiempo', None)	G. Valiente, Larrosa valiente dataset, 2017, (http://www.cs.upc.edu/~valiente/research.html).	0	2		Jes�s Vallejo	Tom�s y Valiente a destiempo	None	http://dx.doi.org/10.2307/j.ctt1hj9wfw.7	10.2307/j.ctt1hj9wfw.7
('Temporal�spatial reach parameters derived from inertial sensors: Comparison to 3D marker-based motion capture', 2017)	K. Cahill-Rowley, J. Rose Temporal–spatial reach parameters derived from inertial sensors: Comparison to 3d marker-based motion capture Journal of biomechanics, 52 (2017), pp. 11–16 https://doi.org/10.1016/j.jbiomech.2016.10.031	1	1		Katelyn Cahill-Rowley and Jessica Rose	Temporal�spatial reach parameters derived from inertial sensors: Comparison to 3D marker-based motion capture	2017	http://dx.doi.org/10.1016/j.jbiomech.2016.10.031	10.1016/j.jbiomech.2016.10.031
