[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'pruned', 'indegree', 20],
[26,'An Algorithm for Subgraph Isomorphism', 'pruned', 'indegree', 20],
[189,'A graduated assignment algorithm for graph matching', 'pruned', 'indegree', 18],
[1212,'The Hungarian method for the assignment problem', 'pruned', 'indegree', 17],
[12,'Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson]', 'pruned', 'indegree', 16],
[129,'An eigendecomposition approach to weighted graph matching problems', 'pruned', 'indegree', 15],
[357,'A distance measure between attributed relational graphs for pattern recognition', 'pruned', 'indegree', 14],
[742,'Pairwise Global Alignment of Protein Interaction Networks by Matching Neighborhood Topology', 'pruned', 'indegree', 13],
[23,'Topological network alignment uncovers biological function and phylogeny', 'pruned', 'indegree', 12],
[1409,'Global alignment of multiple protein interaction networks with application to functional orthology detection', 'pruned', 'indegree', 11],
[742,'Pairwise Global Alignment of Protein Interaction Networks by Matching Neighborhood Topology', 'gA', 'indegree', 12],
[23,'Topological network alignment uncovers biological function and phylogeny', 'gA', 'indegree', 12],
[902,'Network Motifs: Simple Building Blocks of Complex Networks', 'gA', 'indegree', 11],
[119,'Global network alignment using multiscale spectral signatures', 'gA', 'indegree', 11],
[84,'Biological network comparison using graphlet degree distribution', 'gA', 'indegree', 11],
[1409,'Global alignment of multiple protein interaction networks with application to functional orthology detection', 'gA', 'indegree', 10],
[770,'Conserved patterns of protein interaction in multiple species', 'gA', 'indegree', 10],
[92,'Collective dynamics of \u2018small-world\u2019 networks', 'gA', 'indegree', 10],
[46,'Pairwise Alignment of Protein Interaction Networks', 'gA', 'indegree', 10],
[87,'On Graph Kernels: Hardness Results and Efficient Alternatives', 'gA', 'indegree', 9],
[189,'A graduated assignment algorithm for graph matching', 'gB', 'indegree', 18],
[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'gB', 'indegree', 17],
[26,'An Algorithm for Subgraph Isomorphism', 'gB', 'indegree', 16],
[129,'An eigendecomposition approach to weighted graph matching problems', 'gB', 'indegree', 15],
[1212,'The Hungarian method for the assignment problem', 'gB', 'indegree', 14],
[357,'A distance measure between attributed relational graphs for pattern recognition', 'gB', 'indegree', 14],
[12,'Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson]', 'gB', 'indegree', 11],
[369,'Inexact graph matching for structural pattern recognition', 'gB', 'indegree', 10],
[859,'Approximate graph edit distance computation by means of bipartite graph matching', 'gB', 'indegree', 9],
[622,'Linear time algorithm for isomorphism of planar graphs (Preliminary Report]', 'gB', 'indegree', 9],
[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'pruned', 'outdegree', 109],
[43,'Networks for systems biology: conceptual connection of data and function', 'pruned', 'outdegree', 102],
[1,'Fifty years of graph matching, network alignment and network comparison', 'pruned', 'outdegree', 71],
[2631,'The graph matching problem', 'pruned', 'outdegree', 55],
[78,'Recent developments in graph matching', 'pruned', 'outdegree', 51],
[4962,'Efficient Graph Matching Algorithms', 'pruned', 'outdegree', 43],
[2432,'Fast and Scalable Approximate Spectral Matching for Higher Order Graph Matching', 'pruned', 'outdegree', 41],
[76,'Modeling cellular machinery through biological network comparison', 'pruned', 'outdegree', 41],
[2593,'Graph matching applications in pattern recognition and image processing', 'pruned', 'outdegree', 40],
[2,'MAGNA: Maximizing Accuracy in Global Network Alignment', 'pruned', 'outdegree', 35],
[43,'Networks for systems biology: conceptual connection of data and function', 'gA', 'outdegree', 93],
[1,'Fifty years of graph matching, network alignment and network comparison', 'gA', 'outdegree', 57],
[76,'Modeling cellular machinery through biological network comparison', 'gA', 'outdegree', 40],
[2,'MAGNA: Maximizing Accuracy in Global Network Alignment', 'gA', 'outdegree', 35],
[4655,'Predicting Graph Categories from Structural Properties', 'gA', 'outdegree', 30],
[3025,'Graph-based methods for analysing networks in cell biology', 'gA', 'outdegree', 30],
[1731,'Biological network comparison using graphlet degree distribution', 'gA', 'outdegree', 30],
[71,'Graphlet-based measures are suitable for biological network comparison', 'gA', 'outdegree', 30],
