hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('S. Fortin. The graph isomorphism problem. Technical Report 96-20, 1996.', 'CITATION ONLY')	S. Fortin. The graph isomorphism problem. Technical Report 96-20, 1996.	0.0	1.0		A. E. Kirichkov	Quantum search algorithm for graph isomorphism problem	2008.0	http://dx.doi.org/10.1117/12.801901	10.1117/12.801901
('Context-aware personal communication for teleliving', 1998.0)	Knill, Manny. Personal communication, November 1998.	0.0	1.0		Theo Kanter and Claes Frisk and Henrik Gustafsson	Context-aware personal communication for teleliving	1998.0	http://dx.doi.org/10.1007/bf01885564	10.1007/bf01885564
('Faster Kernels for Graphs with Continuous Attributes via Hashing', 2016)	Kristian Kersting, Nils M. Kriege, Christopher Morris, Petra Mutzel, and Marion Neumann. Benchmark Data Sets for Graph Kernels, 2016. URL http://graphkernels.cs.tu-dortmund.de.	0	0		Christopher Morris and Nils M. Kriege and Kristian Kersting and Petra Mutzel	Faster Kernels for Graphs with Continuous Attributes via Hashing	2016	http://dx.doi.org/10.1109/icdm.2016.0142	10.1109/icdm.2016.0142
('Fabian Pedregosa, GaÂ¨el Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, Peter Prettenhofer, Ron Weiss, Vincent Dubourg, et al. Scikit-learn: Machine Learning in Python. Journal of Machine Learning Research, 12(Oct):2825â€“2830, 2011.', 'CITATION ONLY')	Fabian Pedregosa, GaÂ¨el Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, Peter Prettenhofer, Ron Weiss, Vincent Dubourg, et al. Scikit-learn: Machine Learning in Python. Journal of Machine Learning Research, 12(Oct):2825â€“2830, 2011.	0	0		Alexandre Abraham and Fabian Pedregosa and Michael Eickenberg and Philippe Gervais and Andreas Mueller and Jean Kossaifi and Alexandre Gramfort and Bertrand Thirion and Gaël Varoquaux	Machine learning for neuroimaging with scikit-learn	2014	http://dx.doi.org/10.3389/fninf.2014.00014	10.3389/fninf.2014.00014
('Nino Shervashidze, Pascal Schweitzer, Erik Jan van Leeuwen, Kurt Mehlhorn, and Karsten M Borgwardt. Weisfeiler-Lehman Graph Kernels. Journal of Machine Learning Research, 12(Sep):2539â€“2561, 2011.', 'CITATION ONLY')	Nino Shervashidze, Pascal Schweitzer, Erik Jan van Leeuwen, Kurt Mehlhorn, and Karsten M Borgwardt. Weisfeiler-Lehman Graph Kernels. Journal of Machine Learning Research, 12(Sep):2539â€“2561, 2011.	0	0		Christopher Morris and Kristian Kersting and Petra Mutzel	Glocalized Weisfeiler-Lehman Graph Kernels: Global-Local Feature Maps of Graphs	2017	http://dx.doi.org/10.1109/icdm.2017.42	10.1109/icdm.2017.42
("Huntington's disease", 2007)	Walker FO. Huntingtonâ€™s disease. Lancet. 2007;369(9557):218â€“28. 2	0	0		Francis O Walker	Huntington's disease	2007	http://dx.doi.org/10.1016/s0140-6736(07)60111-1	10.1016/s0140-6736(07)60111-1
('National Institute of Neurological Disorders and Stroke (NINDS)', None)	National Institute of Neurological Disorders and Stroke (NINDS). Huntingtonâ€™s Disease Information Page [Internet]. 2016 Jan 28. Available from: https://www.ninds.nih.gov/Disorders/All-Disorders/HuntingtonsDisease-Information-Page (Accessed 29 Dec 2017).	0	0		Kelly Boyer	National Institute of Neurological Disorders and Stroke (NINDS)	None	http://dx.doi.org/10.4135/9781412963855.n835	10.4135/9781412963855.n835
("Differences in duration of Huntington's disease based on age at onset", 1999)	Foroud T, Gray J, Ivashina J, Conneally PM. Differences in duration of Huntingtonâ€™s disease based on age at onset. J Neurol Neurosurg Psychiatry. 1999;66(1):52â€“6.	0	0		T. Foroud and J. Gray and J. Ivashina and P M. Conneally	Differences in duration of Huntington's disease based on age at onset	1999	http://dx.doi.org/10.1136/jnnp.66.1.52	10.1136/jnnp.66.1.52
("Dopamine and cognitive functioning: Brain imaging findings in Huntington's disease and normal aging", 2001)	BÃ¤ckman L, Farde L. Dopamine and cognitive functioning: brain imaging findings in Huntingtonâ€™s disease and normal aging. Scand J Psychol. 2001; 42(3):287â€“96.	0	0		Lars Backman and Lars Farde	Dopamine and cognitive functioning: Brain imaging findings in Huntington's disease and normal aging	2001	http://dx.doi.org/10.1111/1467-9450.00238	10.1111/1467-9450.00238
('Measures of Similarity between Fuzzy Concepts: A Comparative Analysis', 1987)	Zwick R, Carlstein E, Budescu DV. Measures of similarity among fuzzy concepts: a comparative analysis. Int J Approx Reason. 1987;1(2):221â€“42.	0	0		Rami Zwick and Edward Carlstein and David Budescu	Measures of Similarity between Fuzzy Concepts: A Comparative Analysis	1987	http://dx.doi.org/10.21236/ada189430	10.21236/ada189430
(None, 2006)	Schlicker A, Domingues FS, RahnenfÃ¼hrer J, Lengauer T. A new measure for functional similarity of gene products based on gene ontology. BMC Bioinformatics. 2006;7:302.	0	0		Andreas Schlicker and Francisco S Domingues and Jörg Rahnenführer and Thomas Lengauer	None	2006	http://dx.doi.org/10.1186/1471-2105-7-302	10.1186/1471-2105-7-302
('NCBI Sequence Read Archive (SRA) accession numbers for fastq sequence files for each zooplankton community sample (Plankton Population Genetics project)', 2017)	National Center for Biotechnology Information (NCBI). NCBI Sequence Read Archive (SRA) [Internet]. 2015 Sep 15. Available from: https://www.ncbi.nlm. nih.gov/sra (Accessed 30 Dec 2017).	0	0		Erica Goetze	NCBI Sequence Read Archive (SRA) accession numbers for fastq sequence files for each zooplankton community sample (Plankton Population Genetics project)	2017	http://dx.doi.org/10.1575/1912/bco-dmo.704665	10.1575/1912/bco-dmo.704665
("Risk Factors for Alzheimer's Disease: A Prospective Analysis from the Canadian Study of Health and Aging", 2002)	Lindsay J, Laurin D, Verreault R, HÃ©bert R, Helliwell B, Hill GB, et al. Risk factors for Alzheimerâ€™s disease: a prospective analysis from the Canadian study of health and aging. Am J Epidemiol. 2002;156(5):445â€“53.	0	0		J. Lindsay	Risk Factors for Alzheimer's Disease: A Prospective Analysis from the Canadian Study of Health and Aging	2002	http://dx.doi.org/10.1093/aje/kwf074	10.1093/aje/kwf074
("Ageing as a primary risk factor for Parkinson's disease: evidence from studies of non-human primates", 2011)	Collier TJ, Kanaan NM, Kordower JH. Ageing as a primary risk factor for Parkinsonâ€™s disease: evidence from studies of non-human primates. Nat Rev Neurosci. 2011;12(6):359.	0	0		Timothy J. Collier and Nicholas M. Kanaan and Jeffrey H. Kordower	Ageing as a primary risk factor for Parkinson's disease: evidence from studies of non-human primates	2011	http://dx.doi.org/10.1038/nrn3039	10.1038/nrn3039
