protein1 protein2 combined_score
243273.MgenG_010200000005 243273.MgenG_010200000040 399
243273.MgenG_010200000005 243273.MgenG_010200000030 532
243273.MgenG_010200000005 243273.MgenG_010200000010 859
243273.MgenG_010200000005 243273.MgenG_010200000015 859
243273.MgenG_010200000005 243273.MgenG_010200000035 399
243273.MgenG_010200000005 243273.MgenG_010200000025 555
243273.MgenG_010200000005 243273.MgenG_010200000020 555
243273.MgenG_010200000010 243273.MgenG_010200002971 175
243273.MgenG_010200000010 243273.MgenG_010200003068 171
243273.MgenG_010200000010 243273.MgenG_010200000035 482
243273.MgenG_010200000010 243273.MgenG_010200002219 151
243273.MgenG_010200000010 243273.MgenG_010200002484 171
243273.MgenG_010200000010 243273.MgenG_010200000160 163
243273.MgenG_010200000010 243273.MgenG_010200000660 258
243273.MgenG_010200000010 243273.MgenG_010200000610 206
243273.MgenG_010200000010 243273.MgenG_010200003166 333
243273.MgenG_010200000010 243273.MgenG_010200003200 206
243273.MgenG_010200000010 243273.MgenG_010200000285 153
243273.MgenG_010200000010 243273.MgenG_010200000545 156
243273.MgenG_010200000010 243273.MgenG_010200001587 167
243273.MgenG_010200000010 243273.MgenG_010200000685 733
243273.MgenG_010200000010 243273.MgenG_010200002264 302
243273.MgenG_010200000010 243273.MgenG_010200000700 205
243273.MgenG_010200000010 243273.MgenG_010200001963 158
243273.MgenG_010200000010 243273.MgenG_010200001000 186
243273.MgenG_010200000010 243273.MgenG_010200000810 332
243273.MgenG_010200000010 243273.MgenG_010200001567 216
243273.MgenG_010200000010 243273.MgenG_010200002179 731
243273.MgenG_010200000010 243273.MgenG_010200000200 593
243273.MgenG_010200000010 243273.MgenG_010200002074 195
243273.MgenG_010200000010 243273.MgenG_010200001828 273
243273.MgenG_010200000010 243273.MgenG_010200000835 295
243273.MgenG_010200000010 243273.MgenG_010200002634 197
243273.MgenG_010200000010 243273.MgenG_010200002084 328
243273.MgenG_010200000010 243273.MgenG_010200002304 186
243273.MgenG_010200000010 243273.MgenG_010200002679 205
243273.MgenG_010200000010 243273.MgenG_010200001953 964
243273.MgenG_010200000010 243273.MgenG_010200001803 967
243273.MgenG_010200000010 243273.MgenG_010200002314 392
243273.MgenG_010200000010 243273.MgenG_010200000095 222
243273.MgenG_010200000010 243273.MgenG_010200002274 683
